,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9
6036,-374457963420.8859,-77663767291.40996,-9733626905.743452,-49895378.74967282,14657.743228686466,-2743.2904991898495,31.575042414025386,-46.017429893821365,-0.1122804846159395,15.287673113475192
25958,-374545142399.1525,-82835956661.82457,-4209796489.801661,-89215568.37148386,94403.80424288199,389.19176417714635,-284.6133918611504,-161.32535834962783,14.177555976310037,3.97236547014051
64265,-374951158393.91187,59278872061.595314,-2114300593.805131,-22906044.718641024,7879.751147284791,-15049.367574258626,298.68190476759895,-6.8148179697742135,-59.42884979246332,-7.5699193680091
77686,-374603448829.95953,-82841085406.87822,-1769832625.395629,-32772828.048533887,-25594.150493047153,1606.5029241396028,-20.107846677693047,-1.120625269990912,118.49810890214738,10.919616646687702
82787,-374588288794.46643,-73926795422.29958,-3139105599.2675023,2245179.548194151,-21089.607266930503,2544.896698878193,-119.75525872465735,1.8128647714743922,-7.352433177923478,-2.9004496788088465
136680,-374157009730.08466,54377937599.53836,34806414.34004349,-34854233.16086618,5343.859984903463,-13541.484217048777,271.2025574390601,-24.567902904600878,-55.00216357393068,-8.770457973478438
164502,-374581840054.9822,-78197827762.31577,-2370100969.3608994,61264658.86222644,-24864.204686344056,2399.5630817068545,-158.27913367644484,21.798962181408356,10.305002086251871,42.684438401057676
164734,-374441816604.35425,-61086526455.7044,-9588566729.890972,117119730.97065423,-23781.702717819146,2265.1678825635495,-252.67196223839898,62.845580497058876,61.09226736872718,13.277172909942598
178630,-374585659645.3797,-69620644957.69536,-2041593445.2666276,-102699728.12119365,-25899.120951026453,1802.6152587608992,49.457062126039915,-9.064923136977873,10.070655421957728,-1.3802384678282191
183714,-374162080575.4987,138391803562.58658,-1040000143.7551157,129039285.51067269,-17124.194104665152,-2870.3938700584986,-328.6474457398937,38.856510249680234,-55.63365053717833,3.8027523237083076
198619,-374499753412.4611,-56315422584.21952,-5521614565.296044,-51472179.842871465,-24543.197477327172,1693.787594883446,-9.697851399122037,-2.8082260308302343,-6.695182644343339,-4.1129642090427945
202697,-375058475499.15765,-96174035044.7111,31349703392.1874,-115125403.76282544,-34018.864248072576,5427.568176339039,-52.25582330950212,-215.38096283160755,-110.53133395378812,-18.065503502781645
226043,-370304426337.0051,-72906387928.71237,663680115.2761533,124742.8540250855,-26518.775447466738,2401.2619794106845,-100.6233016468843,-19.35380589480689,161.51475993472556,80.31060012439944
235767,-374050887655.4442,62237718361.57589,3364544479.698535,112654045.56455763,-4553.555129460402,-1238.6620672498777,-323.1619828417557,27.740068609505578,-41.561700510127416,7.511964179260847
278069,-374751095701.5222,-53449348191.98969,18555678868.544075,31792066.900053583,56267.855200820275,1158.351138514656,-403.61924023410137,8.777748194453439,2779.433044231591,-20.652051431333838
282107,-374455211310.88385,-51221053309.66897,-5895115942.366201,20740734.8143505,3939.0517979115607,3230.1599568399092,2094.00607500788,154.59424812537102,13.02091309928215,10.18450319388977
322721,-374415486995.25964,49429322927.86975,7528280409.244014,-113904218.12303036,28096.9859681226,7179.514670439031,-419.304447150346,548.8061726019889,-1.4055269697868382,-0.2820025076533246
343589,-374536999323.8693,-69744527516.06583,-4911427980.616495,47250350.51726204,-19281.181229577756,990.962631773885,-122.16884377852013,45.78436381280251,7.953016174037742,4.430328304025196
373075,-374434732929.44745,-78708843343.42531,-10552707122.001654,-57792697.03129012,-8293.095426831256,-1035.9708931714395,56.78042300199375,9.862327096827968,-7.98060070927669,-5.9640518416610755
406473,-374938011684.7166,-64211142135.71732,21579375524.413994,66911994.1523009,72993.77753330323,6917.431282562481,-698.4770073658461,13.953302928626435,19.407972914227607,-6.994170758551001
433899,-374090293355.7702,153512874895.90472,-3201100564.0788054,62796713.15000552,153834.7432931617,1662.61461920104,-961.8422908021772,-107.55136076150971,-32.14579287920785,-7.190600664230681
441611,-374114866711.35187,101928486116.8874,-3643378673.924318,38929816.99299672,40362.405556906255,-7650.329543337871,-176.91934102888044,-38.23017252933391,-29.482873148595978,366.80058050009666
444630,-374098108130.92944,153677322769.3877,-2229759507.2359133,121705140.44356817,-12251.305451151555,-4466.868489025373,-293.10649686284864,167.1928883798856,-60.093320248003145,3.705050446439488
480308,-374415780324.7702,9062275786.477325,3251751225.9399805,-62646218.9864791,93723.92445616718,-15385.308073707547,141.26592807825543,-168.38979054992782,-47.20554284948539,-9.290736343453508
528602,-374570806834.2161,-66825640301.54884,-3704365697.8655615,50646322.63956832,-26910.650812908927,3997.6610722710257,-220.7360949182497,-5.940197818149766,2.235199131978362,20.64102926176707
534162,-374506418524.44727,-81210701053.51791,-8055521518.4218235,-59984476.239627704,-17747.54517988338,-938.3101680782713,85.62671123021227,22.772885644314314,-8.273093281175163,-6.218635475187761
576161,-374557719415.6148,-73720076261.97461,-2572846391.3952255,85203431.04898407,-26046.340948551697,2494.7795842406754,-208.82146997707179,47.363793910470015,-3.5154613466561866,3.9202147862966084
586058,-374061336757.52075,191032180452.78503,-4392092949.705126,50660421.28521769,38437.745685490976,1583.8990905066207,-613.6588610219549,-11.782336150837383,-41.703122666975375,-3.0223225066165798
617413,-374948088372.5486,64595857295.17093,-4852278442.468673,18569102.350171234,22374.655192198123,-12867.109070346201,120.77141555394319,-3.640495555831354,-57.33478380075888,-4.6004725234728525
680828,-374480186316.0069,-75047133605.30174,-7080769120.834146,72442073.62876968,-20752.865434782867,-1312.881714707242,-68.02382660490332,52.933025771932364,-21.071121508488325,12.770248907986835
681001,-374518659938.35913,-74905159579.82368,-3944091168.8780713,-4225764.025546136,133940.1137852896,-63.658570528895154,465.00846100435666,-99.84467029327918,6.762314807997731,23.07364480267872
689689,-374667577978.4201,-49840245186.689575,16393334365.041275,109934183.73315755,-28598.26791112586,2236.3593214481566,-254.14312342394118,-83.96816413643474,5915.886782966016,-19.320804695156173
